epoch,avg_loss
1,7.797527
2,5.326579
3,4.989697
4,4.763794
5,4.587191
6,4.452011
7,4.341840
8,4.247740
9,4.163714
10,4.091402
11,4.022277
12,3.962798
13,3.907063
14,3.856067
15,3.807763
16,3.763043
17,3.721828
18,3.681970
19,3.645388
20,3.609973
21,3.576823
22,3.543709
23,3.513501
24,3.483411
25,3.452407
26,3.428858
27,3.398199
28,3.371888
29,3.346981
30,3.318340
31,3.294987
32,3.271111
33,3.251247
34,3.226699
35,3.201520
36,3.181028
37,3.160715
38,3.140314
39,3.123483
40,3.101653
41,3.085952
42,3.070558
43,3.052933
44,3.035736
45,3.020693
46,3.001854
47,2.988523
48,2.974121
49,2.962870
50,2.947716
51,2.932150
52,2.924856
53,2.911728
54,2.896482
55,2.887582
56,2.876147
57,2.862684
58,2.853172
59,2.840673
60,2.832054
61,2.823418
62,2.811136
63,2.801160
64,2.792003
65,2.784141
66,2.773426
67,2.763634
68,2.755107
69,2.750735
70,2.739854
71,2.731135
72,2.724401
73,2.716087
74,2.708231
75,2.700660
76,2.696090
77,2.686561
78,2.681805
79,2.673321
80,2.664589
81,2.656384
82,2.651180
83,2.647164
84,2.636455
85,2.632519
86,2.623480
87,2.621851
88,2.612659
89,2.605910
90,2.602513
91,2.595967
92,2.591152
93,2.585177
94,2.582148
95,2.574890
96,2.568575
97,2.565549
98,2.561226
99,2.552203
100,2.548671
