epoch,batch_num,loss
1,1,7.319386
1,2,5.968831
1,3,7.820601
1,4,8.258437
1,5,5.848599
1,6,7.489613
1,7,5.835299
1,8,6.517630
1,9,5.890215
1,10,6.444983
1,11,4.782285
1,12,5.512375
1,13,5.612992
1,14,5.599105
1,15,5.333944
1,16,4.537233
1,17,5.255295
1,18,4.789032
1,19,5.178663
1,20,5.074339
1,21,5.070402
1,22,4.753643
1,23,5.158111
1,24,5.288686
1,25,4.861004
1,26,4.674782
1,27,4.602690
1,28,5.013680
1,29,4.593375
1,30,4.748631
1,31,4.773550
2,1,4.897816
2,2,4.555643
2,3,4.729688
2,4,4.719346
2,5,4.844858
2,6,3.946666
2,7,4.664137
2,8,4.266166
2,9,4.304570
2,10,4.475875
2,11,4.384139
2,12,4.913074
2,13,4.834912
2,14,4.737737
2,15,4.359424
2,16,4.572346
2,17,4.736273
2,18,4.395491
2,19,3.926250
2,20,4.143229
2,21,4.728743
2,22,4.576037
2,23,4.740558
2,24,4.705977
2,25,3.687157
2,26,4.690494
2,27,4.678768
2,28,4.691082
2,29,4.486306
2,30,4.648908
2,31,3.850158
3,1,3.843103
3,2,4.028691
3,3,4.050370
3,4,4.226351
3,5,4.602168
3,6,4.689292
3,7,4.010118
3,8,4.635401
3,9,4.405154
3,10,4.658537
3,11,3.674605
3,12,3.920801
3,13,4.265137
3,14,4.377009
3,15,3.972902
3,16,4.146926
3,17,3.706236
3,18,4.338432
3,19,4.634004
3,20,4.710230
3,21,4.328146
3,22,3.897679
3,23,3.564152
3,24,4.489823
3,25,4.675111
3,26,3.825074
3,27,4.768936
3,28,4.816729
3,29,3.400353
3,30,4.210210
3,31,4.455769
4,1,4.033389
4,2,4.370665
4,3,3.954831
4,4,4.212239
4,5,4.284557
4,6,3.635423
4,7,3.870584
4,8,3.956442
4,9,3.970085
4,10,3.959157
4,11,4.193482
4,12,4.539002
4,13,4.545937
4,14,3.909324
4,15,4.278401
4,16,4.436509
4,17,4.308202
4,18,3.686299
4,19,4.128730
4,20,3.998582
4,21,4.034727
4,22,3.682992
4,23,3.922909
4,24,4.041073
4,25,4.357864
4,26,4.309209
4,27,4.037453
4,28,4.227437
4,29,4.471540
4,30,4.051266
4,31,3.848812
5,1,4.050582
5,2,4.047878
5,3,4.346102
5,4,3.768665
5,5,3.829578
5,6,4.133490
5,7,4.071710
5,8,3.946895
5,9,3.896632
5,10,3.664236
5,11,4.579558
5,12,3.638141
5,13,3.839951
5,14,4.043887
5,15,4.251693
5,16,3.598921
5,17,4.151109
5,18,3.574774
5,19,4.171911
5,20,3.788916
5,21,4.236949
5,22,4.055629
5,23,4.096480
5,24,3.799011
5,25,3.845263
5,26,3.939111
5,27,3.646961
5,28,3.870940
5,29,3.719649
5,30,4.263492
5,31,3.814085
6,1,4.308244
6,2,3.421418
6,3,3.764205
6,4,3.724824
6,5,3.336575
6,6,3.974806
6,7,3.865564
6,8,4.076600
6,9,4.095385
6,10,3.642642
6,11,4.135171
6,12,3.184902
6,13,3.818771
6,14,4.011334
6,15,3.758474
6,16,3.689252
6,17,3.762143
6,18,3.859955
6,19,3.739877
6,20,4.184661
6,21,4.012931
6,22,3.604433
6,23,4.130295
6,24,3.633309
6,25,4.014854
6,26,3.484779
6,27,3.739634
6,28,3.872325
