epoch,avg_loss
1,5.564666
2,4.492276
3,4.259536
4,4.091642
5,3.959578
6,3.831173
7,3.714317
8,3.601018
9,3.526583
10,3.407041
11,3.320729
12,3.224587
13,3.140109
14,3.031228
15,2.936930
16,2.856903
17,2.767768
18,2.688269
19,2.601969
20,2.513342
21,2.427622
22,2.364992
23,2.262919
24,2.199078
25,2.127014
26,2.074078
27,1.993919
28,1.932618
29,1.858584
30,1.825012
31,1.756145
32,1.680620
33,1.643758
34,1.618986
35,1.542911
36,1.500419
37,1.455347
38,1.421985
39,1.370704
40,1.348158
41,1.288735
42,1.240505
43,1.209147
44,1.191795
45,1.168445
46,1.120169
47,1.091609
48,1.052836
49,1.045474
50,0.994760
51,0.987666
52,0.948189
53,0.962959
54,0.905682
55,0.880960
56,0.853011
57,0.858953
58,0.822559
59,0.813754
60,0.792167
61,0.755024
62,0.743266
63,0.748868
64,0.730605
65,0.710454
66,0.690577
67,0.678820
68,0.663380
69,0.659834
70,0.642329
71,0.617998
72,0.624903
73,0.609320
74,0.624172
75,0.591847
76,0.577418
77,0.555706
78,0.581789
79,0.544858
80,0.536854
81,0.513542
82,0.532766
83,0.525594
84,0.498257
85,0.490268
86,0.497529
87,0.501694
88,0.482231
89,0.461997
90,0.473273
91,0.472213
92,0.455869
93,0.456768
94,0.453206
95,0.427199
96,0.445615
97,0.419282
98,0.419681
99,0.410411
100,0.404974
